78,245,59,298,40,351
78,245,74,323,70,401
78,245,89,348,100,451
78,245,103.5,373.5,129,502
78,245,118.5,398.5,159,552
78,245,133.5,423.5,189,602
78,245,148.5,448.5,219,652
78,245,163.5,473.5,249,702
78,245,178.5,498.5,279,752
78,245,193.5,523.5,309,802
50,297,45,324,40,351
50,297,60,349,70,401
50,297,75,374,100,451
50,297,89.5,399.5,129,502
50,297,104.5,424.5,159,552
50,297,119.5,449.5,189,602
50,297,134.5,474.5,219,652
50,297,149.5,499.5,249,702
50,297,164.5,524.5,279,752
50,297,179.5,549.5,309,802
40,351,295,574,550,797
40,351,310.5,549.5,581,748
40,351,325.5,524.5,611,698
40,351,370.5,449.5,701,548
40,351,386,425,732,499
40,351,431,350,822,349
70,401,310,599,550,797
70,401,325.5,574.5,581,748
70,401,340.5,549.5,611,698
70,401,385.5,474.5,701,548
70,401,401,450,732,499
70,401,446,375,822,349
100,451,325,624,550,797
100,451,340.5,599.5,581,748
100,451,355.5,574.5,611,698
100,451,400.5,499.5,701,548
100,451,416,475,732,499
100,451,461,400,822,349
129,502,339.5,649.5,550,797
129,502,355,625,581,748
129,502,370,600,611,698
129,502,415,525,701,548
129,502,430.5,500.5,732,499
129,502,475.5,425.5,822,349
159,552,354.5,674.5,550,797
159,552,370,650,581,748
159,552,385,625,611,698
159,552,430,550,701,548
159,552,445.5,525.5,732,499
159,552,490.5,450.5,822,349
189,602,369.5,699.5,550,797
189,602,385,675,581,748
189,602,400,650,611,698
189,602,445,575,701,548
189,602,460.5,550.5,732,499
189,602,505.5,475.5,822,349
219,652,384.5,724.5,550,797
219,652,400,700,581,748
219,652,415,675,611,698
219,652,460,600,701,548
219,652,475.5,575.5,732,499
219,652,520.5,500.5,822,349
249,702,399.5,749.5,550,797
249,702,415,725,581,748
249,702,430,700,611,698
249,702,475,625,701,548
249,702,490.5,600.5,732,499
249,702,535.5,525.5,822,349
279,752,414.5,774.5,550,797
279,752,430,750,581,748
279,752,445,725,611,698
279,752,490,650,701,548
279,752,505.5,625.5,732,499
279,752,550.5,550.5,822,349
309,802,429.5,799.5,550,797
309,802,445,775,581,748
309,802,460,750,611,698
309,802,505,675,701,548
309,802,520.5,650.5,732,499
309,802,565.5,575.5,822,349
339,852,429.5,849.5,520,847
339,852,490,750,641,648
339,852,505,725,671,598
339,852,550.5,650.5,762,449
339,852,565.5,625.5,792,399
392,879,432,879,472,879
392,879,533,535,674,191
392,879,493,535,594,191
392,879,453,535,514,191
392,879,413,535,434,191
392,879,373,535,354,191
392,879,333,535,274,191
392,879,293,535,194,191
392,879,253,535,114,191
472,879,573,535,674,191
472,879,533,535,594,191
472,879,493,535,514,191
472,879,453,535,434,191
472,879,413,535,354,191
472,879,373,535,274,191
472,879,333,535,194,191
472,879,293,535,114,191
520,847,665,571,810,295
520,847,651.5,544.5,783,242
641,648,725.5,471.5,810,295
641,648,712,445,783,242
671,598,740.5,446.5,810,295
671,598,727,420,783,242
762,449,786,372,810,295
762,449,772.5,345.5,783,242
792,399,801,347,810,295
792,399,787.5,320.5,783,242
674,191,634,191,594,191
674,191,594,191,514,191
674,191,554,191,434,191
674,191,514,191,354,191
674,191,474,191,274,191
674,191,434,191,194,191
674,191,394,191,114,191
594,191,554,191,514,191
594,191,514,191,434,191
594,191,474,191,354,191
594,191,434,191,274,191
594,191,394,191,194,191
594,191,354,191,114,191
514,191,474,191,434,191
514,191,434,191,354,191
514,191,394,191,274,191
514,191,354,191,194,191
514,191,314,191,114,191
434,191,394,191,354,191
434,191,354,191,274,191
434,191,314,191,194,191
434,191,274,191,114,191
354,191,314,191,274,191
354,191,274,191,194,191
354,191,234,191,114,191
274,191,234,191,194,191
274,191,194,191,114,191
194,191,154,191,114,191
